enterprise_lead_id,tour_date,number_of_developed_contracts_owned,number_of_managed_contracts_owned,number_of_trust_contracts_owned,number_of_vip_sampler_contracts_purchased,number_of_resale_contracts_owned,first_voi_sold_date,most_recent_voi_sold_date,total_spent_life_to_date,total_intervals_owned,total_net_weeks,total_net_points,largest_list_price_purchase
670790887,2021-12-03,2,0,null,1,0,2010-11-16,2014-03-21,89240.00,3.00,2.00,22880,55990.000000000000
679577979,2024-03-16,0,2,null,0,0,2013-08-19,2017-05-11,22025.00,1.50,1.50,8160,14820.000000000000
679160957,2022-07-28,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
677563255,2025-07-24,1,0,null,0,0,2016-11-27,2023-07-18,127666.00,1.00,0.00,23040,127666.000000000000
678468411,2017-09-29,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
677979969,2021-12-19,0,1,null,0,0,2018-12-17,2019-11-17,28490.00,1.00,0.50,8000,28490.000000000000
690124253,2026-10-11,0,0,1,0,0,2023-09-03,2024-12-27,22980.00,0.00,0.00,2250,11900.000000000000
690146861,2021-05-18,0,1,null,0,0,2018-01-27,2018-01-27,24820.00,0.50,0.50,8160,24820.000000000000
690791147,2023-07-30,2,0,null,0,0,1996-03-17,2008-06-24,29890.00,2.00,2.00,13440,15990.000000000000
690014968,2025-04-06,1,0,null,0,0,2025-01-02,2025-01-02,20305.00,0.50,0.50,8000,20305.000000000000
665258307,2024-12-28,1,1,null,0,0,2008-07-27,2017-10-28,101801.00,3.00,0.00,30400,81337.000000000000
664179091,2021-12-18,1,0,null,1,0,2006-03-13,2020-03-03,95285.00,3.00,-1.00,22400,95285.000000000000
664143981,2022-04-25,1,0,null,0,0,2007-11-30,2017-08-18,98285.00,2.00,0.00,23040,98285.000000000000
666628513,2022-03-07,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
680593563,2024-01-15,1,1,null,0,0,2022-01-12,2022-05-26,60295.00,1.50,1.50,16800,48990.000000000000
683724313,2023-05-31,2,1,null,0,0,2016-10-03,2023-02-06,117076.00,2.50,1.00,31360,58990.000000000000
674674047,2023-03-24,1,0,null,0,0,2004-10-01,2004-10-01,7800.00,0.50,0.50,8000,7800.000000000000
675532009,2021-07-16,1,0,null,1,0,2018-08-02,2019-01-21,43294.00,2.00,0.00,11200,43294.000000000000
676896477,2025-06-22,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
677021629,2022-09-07,1,1,null,0,0,2015-11-17,2022-04-07,425046.00,2.50,0.50,46720,139652.000000000000
673367413,2023-05-10,1,2,null,1,0,2017-11-06,2022-01-29,260521.00,5.00,2.00,60800,106931.000000000000
673865791,2021-06-08,1,0,null,1,0,2017-04-03,2017-04-03,14300.00,1.50,0.50,5600,14300.000000000000
671934997,2024-07-12,1,0,null,0,0,2008-07-31,2008-07-31,13604.00,1.00,1.00,5600,13604.000000000000
679897621,2022-12-28,1,0,null,0,0,2017-07-02,2017-07-02,37750.00,1.00,1.00,8000,37750.000000000000
677329181,2022-03-23,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
690630569,2022-02-02,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
691268312,2025-05-27,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
691842549,2023-04-23,1,0,null,0,0,2011-05-15,2021-05-16,86320.61,1.00,0.00,16800,86320.600000000000
665904031,2023-07-21,2,2,null,0,0,2004-01-10,2023-05-04,665865.00,5.00,0.00,125120,204960.000000000000
665718073,2024-04-28,1,0,null,0,0,2002-12-07,2002-12-07,19850.00,1.00,1.00,11200,19850.000000000000
